erasing_type,concept,probe,clip_score,classifier_top5_acc
esdx,airliner,noisebasedprobe,28.50330867767334,90.0
esdx,airliner,standardpromptprobe,20.165826034545898,20.0
base_model,van_gogh,14inpaintprobe,32.24003219604492,
base_model,van_gogh,inpaintprobe,32.13094081878662,
base_model,van_gogh,standardpromptprobe,31.86542621612549,
esdx,van_gogh,inpaintingprobe,28.23616466522217,
esdx,van_gogh,inpaintprobe,28.23616466522217,
esdx,van_gogh,noisebasedprobe,26.977703857421876,
esdx,van_gogh,standardpromptprobe,23.17320137023926,
esdx,van_gogh,textualinversionprobe,25.05631446838379,
