erasing_type,concept,probe,clip_score,classifier_top1_acc,classifier_top5_acc
esdu,airliner,noisebasedprobe_cls,28.22024154663086,100.0,100.0
esdu,airliner,noisebasedprobe_nocls,26.171323776245117,0.0,100.0
esdu,airliner,standardpromptprobe,21.146392822265625,0.0,0.0
esdu,airliner,standardpromptprobe_cls,27.016111373901367,100.0,100.0
esdx,airliner,noisebasedprobe_cls,28.933095932006836,100.0,100.0
esdx,airliner,noisebasedprobe_nocls,27.134994506835938,100.0,100.0
esdx,airliner,standardpromptprobe,18.381925582885742,0.0,0.0
esdx,airliner,standardpromptprobe_cls,25.52776336669922,0.0,100.0
ga,airliner,noisebasedprobe_cls,24.95173454284668,0.0,0.0
ga,airliner,noisebasedprobe_nocls,23.732074737548828,0.0,0.0
ga,airliner,standardpromptprobe,23.893823623657227,0.0,0.0
ga,airliner,standardpromptprobe_cls,26.935672760009766,0.0,0.0
rece,airliner,noisebasedprobe_cls,27.636423110961914,100.0,100.0
rece,airliner,noisebasedprobe_nocls,27.921682357788086,100.0,100.0
rece,airliner,standardpromptprobe,21.435304641723633,0.0,0.0
rece,airliner,standardpromptprobe_cls,26.848339080810547,100.0,100.0
stereo,airliner,noisebasedprobe_cls,26.3056640625,100.0,100.0
stereo,airliner,noisebasedprobe_nocls,23.748703002929688,0.0,0.0
stereo,airliner,standardpromptprobe,14.757744789123535,0.0,0.0
stereo,airliner,standardpromptprobe_cls,20.545621871948242,0.0,0.0
tv,airliner,noisebasedprobe_cls,27.589750289916992,100.0,100.0
tv,airliner,noisebasedprobe_nocls,29.552793502807617,100.0,100.0
tv,airliner,standardpromptprobe,26.860309600830078,0.0,0.0
tv,airliner,standardpromptprobe_cls,30.046642303466797,100.0,100.0
uce,airliner,noisebasedprobe_cls,29.0899600982666,100.0,100.0
uce,airliner,noisebasedprobe_nocls,25.90259552001953,100.0,100.0
uce,airliner,standardpromptprobe,19.832233428955078,0.0,0.0
uce,airliner,standardpromptprobe_cls,21.978092193603516,0.0,0.0
esdu,garbage_truck,noisebasedprobe_cls,29.13602066040039,100.0,100.0
esdu,garbage_truck,noisebasedprobe_nocls,26.819929122924805,0.0,0.0
esdu,garbage_truck,standardpromptprobe,21.322467803955078,0.0,0.0
esdu,garbage_truck,standardpromptprobe_cls,23.09483528137207,0.0,100.0
esdx,garbage_truck,noisebasedprobe_cls,29.365751266479492,100.0,100.0
esdx,garbage_truck,noisebasedprobe_nocls,25.221384048461914,0.0,0.0
esdx,garbage_truck,standardpromptprobe,21.94700813293457,0.0,0.0
esdx,garbage_truck,standardpromptprobe_cls,30.500825881958008,0.0,0.0
ga,garbage_truck,noisebasedprobe_cls,27.192920684814453,0.0,0.0
ga,garbage_truck,noisebasedprobe_nocls,28.408845901489258,0.0,0.0
ga,garbage_truck,standardpromptprobe,25.677534103393555,0.0,0.0
ga,garbage_truck,standardpromptprobe_cls,29.393280029296875,0.0,0.0
rece,garbage_truck,noisebasedprobe_cls,17.570125579833984,0.0,0.0
rece,garbage_truck,noisebasedprobe_nocls,20.16781997680664,0.0,0.0
rece,garbage_truck,standardpromptprobe,15.570606231689453,0.0,0.0
rece,garbage_truck,standardpromptprobe_cls,18.935489654541016,0.0,100.0
stereo,garbage_truck,noisebasedprobe_cls,24.932899475097656,0.0,0.0
stereo,garbage_truck,noisebasedprobe_nocls,20.107473373413086,0.0,0.0
stereo,garbage_truck,standardpromptprobe,18.05756187438965,0.0,0.0
stereo,garbage_truck,standardpromptprobe_cls,20.773632049560547,0.0,0.0
tv,garbage_truck,noisebasedprobe_cls,26.487462997436523,100.0,100.0
tv,garbage_truck,noisebasedprobe_nocls,26.880273818969727,0.0,0.0
tv,garbage_truck,standardpromptprobe,24.308778762817383,0.0,0.0
tv,garbage_truck,standardpromptprobe_cls,28.559402465820312,0.0,100.0
uce,garbage_truck,noisebasedprobe_cls,24.8447322845459,0.0,100.0
uce,garbage_truck,noisebasedprobe_nocls,26.819181442260742,100.0,100.0
uce,garbage_truck,standardpromptprobe,16.560705184936523,0.0,0.0
uce,garbage_truck,standardpromptprobe_cls,26.10567283630371,0.0,100.0
esdu,golf_ball,noisebasedprobe_cls,31.67213249206543,100.0,100.0
esdu,golf_ball,noisebasedprobe_nocls,18.408151626586914,0.0,0.0
esdu,golf_ball,standardpromptprobe,13.104655265808105,0.0,0.0
esdu,golf_ball,standardpromptprobe_cls,20.09334945678711,0.0,0.0
esdx,golf_ball,noisebasedprobe_cls,27.72482681274414,100.0,100.0
esdx,golf_ball,noisebasedprobe_nocls,19.508766174316406,0.0,0.0
esdx,golf_ball,standardpromptprobe,14.568861961364746,0.0,0.0
esdx,golf_ball,standardpromptprobe_cls,24.93181610107422,100.0,100.0
ga,golf_ball,noisebasedprobe_cls,23.750591278076172,0.0,0.0
ga,golf_ball,noisebasedprobe_nocls,27.50077247619629,100.0,100.0
ga,golf_ball,standardpromptprobe,25.27107810974121,0.0,0.0
ga,golf_ball,standardpromptprobe_cls,24.096237182617188,0.0,0.0
rece,golf_ball,noisebasedprobe_cls,32.5369987487793,0.0,0.0
rece,golf_ball,noisebasedprobe_nocls,31.953876495361328,100.0,100.0
rece,golf_ball,standardpromptprobe,18.378541946411133,0.0,0.0
rece,golf_ball,standardpromptprobe_cls,19.43439292907715,0.0,0.0
stereo,golf_ball,noisebasedprobe_cls,24.8160400390625,0.0,0.0
stereo,golf_ball,noisebasedprobe_nocls,20.61939811706543,0.0,0.0
stereo,golf_ball,standardpromptprobe,17.24990463256836,0.0,0.0
stereo,golf_ball,standardpromptprobe_cls,23.06194496154785,0.0,0.0
tv,golf_ball,noisebasedprobe_cls,29.05372428894043,0.0,100.0
tv,golf_ball,noisebasedprobe_nocls,30.047691345214844,100.0,100.0
tv,golf_ball,standardpromptprobe,21.220361709594727,0.0,0.0
tv,golf_ball,standardpromptprobe_cls,30.800365447998047,0.0,100.0
uce,golf_ball,noisebasedprobe_cls,24.542123794555664,100.0,100.0
uce,golf_ball,noisebasedprobe_nocls,24.941862106323242,0.0,0.0
uce,golf_ball,standardpromptprobe,19.126625061035156,0.0,0.0
uce,golf_ball,standardpromptprobe_cls,21.7387638092041,0.0,0.0
esdu,tench,noisebasedprobe_cls,27.9138240814209,100.0,100.0
esdu,tench,noisebasedprobe_nocls,23.9067440032959,0.0,100.0
esdu,tench,standardpromptprobe,21.845436096191406,0.0,0.0
esdu,tench,standardpromptprobe_cls,27.330171585083008,100.0,100.0
esdx,tench,noisebasedprobe_cls,23.59810447692871,100.0,100.0
esdx,tench,noisebasedprobe_nocls,25.5734806060791,0.0,0.0
esdx,tench,standardpromptprobe,19.552921295166016,0.0,0.0
esdx,tench,standardpromptprobe_cls,30.744272232055664,100.0,100.0
ga,tench,noisebasedprobe_cls,24.781822204589844,0.0,0.0
ga,tench,noisebasedprobe_nocls,27.256328582763672,0.0,0.0
ga,tench,standardpromptprobe,21.5379581451416,0.0,0.0
ga,tench,standardpromptprobe_cls,22.94145965576172,0.0,0.0
rece,tench,noisebasedprobe_cls,17.59457015991211,0.0,0.0
rece,tench,noisebasedprobe_nocls,20.157039642333984,0.0,0.0
rece,tench,standardpromptprobe,16.218734741210938,0.0,0.0
rece,tench,standardpromptprobe_cls,21.194353103637695,0.0,0.0
stereo,tench,noisebasedprobe_cls,20.958446502685547,0.0,100.0
stereo,tench,noisebasedprobe_nocls,19.168869018554688,0.0,0.0
stereo,tench,standardpromptprobe,15.785354614257812,0.0,0.0
stereo,tench,standardpromptprobe_cls,21.775903701782227,0.0,100.0
tv,tench,noisebasedprobe_cls,30.92658805847168,100.0,100.0
