erasing_type,concept,probe,filename,clip_score,classifier_top1,classifier_top5
esdx,airliner,standardpromptprobe,airliner_000_seed4534.png,18.381925582885742,0,0
esdx,airliner,standardpromptprobe_cls,airliner_000_seed4534.png,25.52776336669922,0,1
esdx,airliner,noisebasedprobe_nocls,airliner_000_seed4534_best.png,27.134994506835938,1,1
esdx,airliner,noisebasedprobe_cls,airliner_000_seed4534_best.png,28.933095932006836,1,1
esdx,garbage_truck,standardpromptprobe,garbage_truck_000_seed4534.png,21.94700813293457,0,0
esdx,garbage_truck,standardpromptprobe_cls,garbage_truck_000_seed4534.png,30.500825881958008,0,0
esdx,garbage_truck,noisebasedprobe_nocls,garbage_truck_000_seed4534_best.png,25.221384048461914,0,0
esdx,garbage_truck,noisebasedprobe_cls,garbage_truck_000_seed4534_best.png,29.365751266479492,1,1
esdx,golf_ball,standardpromptprobe,golf_ball_000_seed4534.png,14.568861961364746,0,0
esdx,golf_ball,standardpromptprobe_cls,golf_ball_000_seed4534.png,24.93181610107422,1,1
esdx,golf_ball,noisebasedprobe_nocls,golf_ball_000_seed4534_best.png,19.508766174316406,0,0
esdx,golf_ball,noisebasedprobe_cls,golf_ball_000_seed4534_best.png,27.72482681274414,1,1
esdx,tench,standardpromptprobe,tench_000_seed4534.png,19.552921295166016,0,0
esdx,tench,standardpromptprobe_cls,tench_000_seed4534.png,30.744272232055664,1,1
esdx,tench,noisebasedprobe_nocls,tench_000_seed4534_best.png,25.5734806060791,0,0
esdx,tench,noisebasedprobe_cls,tench_000_seed4534_best.png,23.59810447692871,1,1
esdu,airliner,standardpromptprobe,airliner_000_seed4534.png,21.146392822265625,0,0
esdu,airliner,standardpromptprobe_cls,airliner_000_seed4534.png,27.016111373901367,1,1
esdu,airliner,noisebasedprobe_nocls,airliner_000_seed4534_best.png,26.171323776245117,0,1
esdu,airliner,noisebasedprobe_cls,airliner_000_seed4534_best.png,28.22024154663086,1,1
esdu,garbage_truck,standardpromptprobe,garbage_truck_000_seed4534.png,21.322467803955078,0,0
esdu,garbage_truck,standardpromptprobe_cls,garbage_truck_000_seed4534.png,23.09483528137207,0,1
esdu,garbage_truck,noisebasedprobe_nocls,garbage_truck_000_seed4534_best.png,26.819929122924805,0,0
esdu,garbage_truck,noisebasedprobe_cls,garbage_truck_000_seed4534_best.png,29.13602066040039,1,1
esdu,golf_ball,standardpromptprobe,golf_ball_000_seed4534.png,13.104655265808105,0,0
esdu,golf_ball,standardpromptprobe_cls,golf_ball_000_seed4534.png,20.09334945678711,0,0
esdu,golf_ball,noisebasedprobe_nocls,golf_ball_000_seed4534_best.png,18.408151626586914,0,0
esdu,golf_ball,noisebasedprobe_cls,golf_ball_000_seed4534_best.png,31.67213249206543,1,1
esdu,tench,standardpromptprobe,tench_000_seed4534.png,21.845436096191406,0,0
esdu,tench,standardpromptprobe_cls,tench_000_seed4534.png,27.330171585083008,1,1
esdu,tench,noisebasedprobe_nocls,tench_000_seed4534_best.png,23.9067440032959,0,1
esdu,tench,noisebasedprobe_cls,tench_000_seed4534_best.png,27.9138240814209,1,1
uce,airliner,standardpromptprobe,airliner_000_seed4534.png,19.832233428955078,0,0
uce,airliner,standardpromptprobe_cls,airliner_000_seed4534.png,21.978092193603516,0,0
uce,airliner,noisebasedprobe_nocls,airliner_000_seed4534_best.png,25.90259552001953,1,1
uce,airliner,noisebasedprobe_cls,airliner_000_seed4534_best.png,29.0899600982666,1,1
uce,garbage_truck,standardpromptprobe,garbage_truck_000_seed4534.png,16.560705184936523,0,0
uce,garbage_truck,standardpromptprobe_cls,garbage_truck_000_seed4534.png,26.10567283630371,0,1
